F1: 0.49007,Precision: 0.49007,Recall: 0.49007,,
1,88,"Cincinnati, OH",http://dbpedia.org/resource/Cincinnati_Reds,"http://dbpedia.org/resource/Cincinati_Ohio http://dbpedia.org/resource/Cinncinati http://dbpedia.org/resource/The_Queen_of_the_West http://dbpedia.org/resource/Cincinnati_Rap http://dbpedia.org/resource/Government_of_Cincinnati,_Ohio http://dbpedia.org/resource/Indian_Hill_Middle_School http://dbpedia.org/resource/City_of_Cincinnati http://dbpedia.org/resource/Cincy http://dbpedia.org/resource/Cinncinatti,_Ohio http://dbpedia.org/resource/Cincinnatti http://dbpedia.org/resource/Ohio_Cincinnati http://dbpedia.org/resource/Losantiville http://dbpedia.org/resource/Cincinati,_Ohio http://dbpedia.org/resource/Cinncinatti http://dbpedia.org/resource/Cincinatti http://dbpedia.org/resource/Cinncinatti_Ohio http://dbpedia.org/resource/Cincinnatti,_Ohio http://dbpedia.org/resource/Cincinnati_OH http://dbpedia.org/resource/Cincinnati_(Ohio) http://dbpedia.org/resource/Cinncinnatti_Ohio http://dbpedia.org/resource/Cincinati http://dbpedia.org/resource/Cin_City http://dbpedia.org/resource/Cinncinati,_Ohio http://dbpedia.org/resource/Cinncinnatti,_Ohio http://dbpedia.org/resource/Cinncinnati_Ohio http://dbpedia.org/resource/Cinncinnati http://dbpedia.org/resource/Cincinnati,_Ohio,_USA http://dbpedia.org/resource/Cincinnati,_oh http://dbpedia.org/resource/Cinncinati_Ohio http://dbpedia.org/resource/Cincinatti,_OH http://dbpedia.org/resource/Cincinnatti_Ohio http://dbpedia.org/resource/Sawyer_Point_Yeatman's_Cove http://dbpedia.org/resource/Cincinnati,_Ohio http://dbpedia.org/resource/Cincinnati http://dbpedia.org/resource/Cincinnati_Ohio http://dbpedia.org/resource/Cincinnati,_USA http://dbpedia.org/resource/Cincinnati,_O. http://dbpedia.org/resource/Cincinnati,_OH http://dbpedia.org/resource/The_Blue_Chip_City http://dbpedia.org/resource/UN/LOCODE:USCVG http://dbpedia.org/resource/Cinci http://dbpedia.org/resource/Cincinnati_(OH) http://dbpedia.org/resource/Government_of_Cincinnati http://dbpedia.org/resource/Cincinatti,_Ohio http://dbpedia.org/resource/Cinncinnatti http://dbpedia.org/resource/Blue_Chip_City http://dbpedia.org/resource/Cincinatti_Ohio http://dbpedia.org/resource/Cincinnati,_Oh http://dbpedia.org/resource/Cincinnati_sister_cities http://dbpedia.org/resource/Cinncinnati,_Ohio"
1,91,"Nashville, Tennessee",http://dbpedia.org/resource/Tennessee,"http://dbpedia.org/resource/Nashville_Neighborhoods http://dbpedia.org/resource/Nashville-Davidson_County http://dbpedia.org/resource/Nashville-Davidson_(city),_Davidson_County,_Tennessee http://dbpedia.org/resource/Little_Kurdistan http://dbpedia.org/resource/Capital_of_Tennessee http://dbpedia.org/resource/South_Nashville http://dbpedia.org/resource/Nashville,_TN,_USA http://dbpedia.org/resource/Nashville_(AFL) http://dbpedia.org/resource/The_weather_in_Nashville http://dbpedia.org/resource/Little_kurdistan http://dbpedia.org/resource/Nashville_Tennessee http://dbpedia.org/resource/Nashville-Davidson,_Tennessee http://dbpedia.org/resource/Businesses_in_Nashville http://dbpedia.org/resource/Downtown_Nashville http://dbpedia.org/resource/Nashville,_Tenn. http://dbpedia.org/resource/Nashville_(TN) http://dbpedia.org/resource/Nashville_tn http://dbpedia.org/resource/Music_City_USA http://dbpedia.org/resource/Nashville-Davidson,_TN http://dbpedia.org/resource/Nashville-Davidson_(city),_Tennessee http://dbpedia.org/resource/Nashville-Davidson_(city),_Davidson_County,_TN http://dbpedia.org/resource/Nashville,_USA http://dbpedia.org/resource/Nashville,_TN http://dbpedia.org/resource/Nashville-Davidson_(city),_TN http://dbpedia.org/resource/Nashville_neighborhoods http://dbpedia.org/resource/Nashville,_tn http://dbpedia.org/resource/Nashville_&_Davidson_County,_Tennessee http://dbpedia.org/resource/Nashville,_Tennesee http://dbpedia.org/resource/Nashville-Davidson http://dbpedia.org/resource/Neighborhoods_of_Nashville http://dbpedia.org/resource/Nashville_Tenn http://dbpedia.org/resource/Nashville http://dbpedia.org/resource/City_of_Nashville http://dbpedia.org/resource/West_Nashville http://dbpedia.org/resource/Nash_Vegas http://dbpedia.org/resource/Nashville,_Tennessee http://dbpedia.org/resource/Protestant_vatican http://dbpedia.org/resource/Cashville,_Tennessee http://dbpedia.org/resource/North_Nashville http://dbpedia.org/resource/Metropolitan_Government_of_Nashville_and_Davidson_County http://dbpedia.org/resource/Nashvillian http://dbpedia.org/resource/Nashville,_United_States"
1,93,"Athens, Georgia",http://dbpedia.org/resource/University_of_Georgia,"http://dbpedia.org/resource/Athens,_Ga. http://dbpedia.org/resource/Athens_GA http://dbpedia.org/resource/Athens,_GA_(U.S._state) http://dbpedia.org/resource/Athens-Clarke_County_(balance),_Clarke_County,_Georgia http://dbpedia.org/resource/Athens_georgia http://dbpedia.org/resource/Athens-Clarke_County_(balance),_Clarke_County,_GA http://dbpedia.org/resource/Athens,_Georgia_(U.S._state) http://dbpedia.org/resource/List_of_people_from_Athens,_Georgia http://dbpedia.org/resource/Athens,_Georgia http://dbpedia.org/resource/Athens-Clarke_County_(County),_Georgia http://dbpedia.org/resource/Athens-Clarke_County_(County),_Clarke_County,_Georgia http://dbpedia.org/resource/Athens,_GA http://dbpedia.org/resource/Athens-Clarke_County_(County),_Clarke_County,_GA http://dbpedia.org/resource/Athens-Clarke_County,_Georgia http://dbpedia.org/resource/Athens-Clarke_County_(County),_GA http://dbpedia.org/resource/Athens,_ga http://dbpedia.org/resource/Athens_(GA) http://dbpedia.org/resource/Athens-Clarke_County_(balance),_Georgia http://dbpedia.org/resource/Athens-Clarke_County_(balance),_GA http://dbpedia.org/resource/History_of_Athens,_Georgia"
1,97,"Hollywood, California",http://dbpedia.org/resource/Los_Angeles,"http://dbpedia.org/resource/Greater_Hollywood http://dbpedia.org/resource/Hollywood_(California) http://dbpedia.org/resource/Hollywood,_Los_Angeles,_California http://dbpedia.org/resource/Greater_Hollywood,_Los_Angeles,_California http://dbpedia.org/resource/Hollywood_(Los_Angeles,_Calif.) http://dbpedia.org/resource/Hollywood_(Los_Angeles) http://dbpedia.org/resource/HollywooD http://dbpedia.org/resource/Hollywood,_CA http://dbpedia.org/resource/Hwood http://dbpedia.org/resource/H'w'd http://dbpedia.org/resource/Hollywood http://dbpedia.org/resource/Hollywood,_Los_Angeles http://dbpedia.org/resource/Hollywood,_California http://dbpedia.org/resource/District_of_Hollywood http://dbpedia.org/resource/English_cinema http://dbpedia.org/resource/Hollywood_America http://dbpedia.org/resource/Hollywood,_Los_Angeles,_CA http://dbpedia.org/resource/Tinseltown http://dbpedia.org/resource/History_of_Hollywood,_California http://dbpedia.org/resource/Hollywood_(CA) http://dbpedia.org/resource/Hollywood,_Calif. http://dbpedia.org/resource/Hollywood_Goes_Green http://dbpedia.org/resource/UN/LOCODE:USHLW"
1,98,"Cincinnati, Ohio",http://dbpedia.org/resource/Cincinnati_Museum_Center_at_Union_Terminal,"http://dbpedia.org/resource/Cincinati_Ohio http://dbpedia.org/resource/Cinncinati http://dbpedia.org/resource/The_Queen_of_the_West http://dbpedia.org/resource/Cincinnati_Rap http://dbpedia.org/resource/Government_of_Cincinnati,_Ohio http://dbpedia.org/resource/Indian_Hill_Middle_School http://dbpedia.org/resource/City_of_Cincinnati http://dbpedia.org/resource/Cincy http://dbpedia.org/resource/Cinncinatti,_Ohio http://dbpedia.org/resource/Cincinnatti http://dbpedia.org/resource/Ohio_Cincinnati http://dbpedia.org/resource/Losantiville http://dbpedia.org/resource/Cincinati,_Ohio http://dbpedia.org/resource/Cinncinatti http://dbpedia.org/resource/Cincinatti http://dbpedia.org/resource/Cinncinatti_Ohio http://dbpedia.org/resource/Cincinnatti,_Ohio http://dbpedia.org/resource/Cincinnati_OH http://dbpedia.org/resource/Cincinnati_(Ohio) http://dbpedia.org/resource/Cinncinnatti_Ohio http://dbpedia.org/resource/Cincinati http://dbpedia.org/resource/Cin_City http://dbpedia.org/resource/Cinncinati,_Ohio http://dbpedia.org/resource/Cinncinnatti,_Ohio http://dbpedia.org/resource/Cinncinnati_Ohio http://dbpedia.org/resource/Cinncinnati http://dbpedia.org/resource/Cincinnati,_Ohio,_USA http://dbpedia.org/resource/Cincinnati,_oh http://dbpedia.org/resource/Cinncinati_Ohio http://dbpedia.org/resource/Cincinatti,_OH http://dbpedia.org/resource/Cincinnatti_Ohio http://dbpedia.org/resource/Sawyer_Point_Yeatman's_Cove http://dbpedia.org/resource/Cincinnati,_Ohio http://dbpedia.org/resource/Cincinnati http://dbpedia.org/resource/Cincinnati_Ohio http://dbpedia.org/resource/Cincinnati,_USA http://dbpedia.org/resource/Cincinnati,_O. http://dbpedia.org/resource/Cincinnati,_OH http://dbpedia.org/resource/The_Blue_Chip_City http://dbpedia.org/resource/UN/LOCODE:USCVG http://dbpedia.org/resource/Cinci http://dbpedia.org/resource/Cincinnati_(OH) http://dbpedia.org/resource/Government_of_Cincinnati http://dbpedia.org/resource/Cincinatti,_Ohio http://dbpedia.org/resource/Cinncinnatti http://dbpedia.org/resource/Blue_Chip_City http://dbpedia.org/resource/Cincinatti_Ohio http://dbpedia.org/resource/Cincinnati,_Oh http://dbpedia.org/resource/Cincinnati_sister_cities http://dbpedia.org/resource/Cinncinnati,_Ohio"
1,99,Nashville,http://dbpedia.org/resource/Tennessee,"http://dbpedia.org/resource/Nashville_Neighborhoods http://dbpedia.org/resource/Nashville-Davidson_County http://dbpedia.org/resource/Nashville-Davidson_(city),_Davidson_County,_Tennessee http://dbpedia.org/resource/Little_Kurdistan http://dbpedia.org/resource/Capital_of_Tennessee http://dbpedia.org/resource/South_Nashville http://dbpedia.org/resource/Nashville,_TN,_USA http://dbpedia.org/resource/Nashville_(AFL) http://dbpedia.org/resource/The_weather_in_Nashville http://dbpedia.org/resource/Little_kurdistan http://dbpedia.org/resource/Nashville_Tennessee http://dbpedia.org/resource/Nashville-Davidson,_Tennessee http://dbpedia.org/resource/Businesses_in_Nashville http://dbpedia.org/resource/Downtown_Nashville http://dbpedia.org/resource/Nashville,_Tenn. http://dbpedia.org/resource/Nashville_(TN) http://dbpedia.org/resource/Nashville_tn http://dbpedia.org/resource/Music_City_USA http://dbpedia.org/resource/Nashville-Davidson,_TN http://dbpedia.org/resource/Nashville-Davidson_(city),_Tennessee http://dbpedia.org/resource/Nashville-Davidson_(city),_Davidson_County,_TN http://dbpedia.org/resource/Nashville,_USA http://dbpedia.org/resource/Nashville,_TN http://dbpedia.org/resource/Nashville-Davidson_(city),_TN http://dbpedia.org/resource/Nashville_neighborhoods http://dbpedia.org/resource/Nashville,_tn http://dbpedia.org/resource/Nashville_&_Davidson_County,_Tennessee http://dbpedia.org/resource/Nashville,_Tennesee http://dbpedia.org/resource/Nashville-Davidson http://dbpedia.org/resource/Neighborhoods_of_Nashville http://dbpedia.org/resource/Nashville_Tenn http://dbpedia.org/resource/Nashville http://dbpedia.org/resource/City_of_Nashville http://dbpedia.org/resource/West_Nashville http://dbpedia.org/resource/Nash_Vegas http://dbpedia.org/resource/Nashville,_Tennessee http://dbpedia.org/resource/Protestant_vatican http://dbpedia.org/resource/Cashville,_Tennessee http://dbpedia.org/resource/North_Nashville http://dbpedia.org/resource/Metropolitan_Government_of_Nashville_and_Davidson_County http://dbpedia.org/resource/Nashvillian http://dbpedia.org/resource/Nashville,_United_States"
1,100,De Lane Lea Studios,http://dbpedia.org/resource/Ronnie_Lane,http://dbpedia.org/resource/De_Lane_Lea_Studio http://dbpedia.org/resource/De_Lane_Lea_Studios http://dbpedia.org/resource/De_Lane_Lea_studios http://dbpedia.org/resource/De_Lane_Lea
1,101,Columbia Records,http://dbpedia.org/resource/CBS,http://dbpedia.org/resource/Kyambo_Joshua http://dbpedia.org/resource/Columbia/CBS_Records http://dbpedia.org/resource/Columbia_Phonograph_Company http://dbpedia.org/resource/Liederkranz_Hall http://dbpedia.org/resource/Columbia_record_label http://dbpedia.org/resource/Columbia_Records http://dbpedia.org/resource/CMV_Enterprises http://dbpedia.org/resource/Columbia_Record_Company http://dbpedia.org/resource/Columbia_(1982-onward) http://dbpedia.org/resource/Columbia_Recording_Studio http://dbpedia.org/resource/Private-I_Records http://dbpedia.org/resource/Columbia_Phonograph http://dbpedia.org/resource/Columbia_Nashville http://dbpedia.org/resource/C2_Records http://dbpedia.org/resource/Mums_Records http://dbpedia.org/resource/Columbia_(1982–onward) http://dbpedia.org/resource/Columbia_Music_Video http://dbpedia.org/resource/Columbia_(SME) http://dbpedia.org/resource/Columbia_(Sony) http://dbpedia.org/resource/Colombia_Records http://dbpedia.org/resource/American_Recordings_Company http://dbpedia.org/resource/Columbia_(record_label) http://dbpedia.org/resource/Columbia_(record_lable) http://dbpedia.org/resource/Columbia_records
1,102,Abbey Road,http://dbpedia.org/resource/Abbey_Road_Studios,http://dbpedia.org/resource/Abbey_Road_(sound_recording) http://dbpedia.org/resource/Golden_Slumbers_Medley http://dbpedia.org/resource/Abbey_road http://dbpedia.org/resource/Abbey_Road_medley http://dbpedia.org/resource/Abbey_Road_Medley http://dbpedia.org/resource/Abbey_Road_(album) http://dbpedia.org/resource/Abbey_Road http://dbpedia.org/resource/Golden_Slumbers/Carry_That_Weight/The_End http://dbpedia.org/resource/Abby_Road
1,103,Nashville,http://dbpedia.org/resource/Tennessee,"http://dbpedia.org/resource/Nashville_Neighborhoods http://dbpedia.org/resource/Nashville-Davidson_County http://dbpedia.org/resource/Nashville-Davidson_(city),_Davidson_County,_Tennessee http://dbpedia.org/resource/Little_Kurdistan http://dbpedia.org/resource/Capital_of_Tennessee http://dbpedia.org/resource/South_Nashville http://dbpedia.org/resource/Nashville,_TN,_USA http://dbpedia.org/resource/Nashville_(AFL) http://dbpedia.org/resource/The_weather_in_Nashville http://dbpedia.org/resource/Little_kurdistan http://dbpedia.org/resource/Nashville_Tennessee http://dbpedia.org/resource/Nashville-Davidson,_Tennessee http://dbpedia.org/resource/Businesses_in_Nashville http://dbpedia.org/resource/Downtown_Nashville http://dbpedia.org/resource/Nashville,_Tenn. http://dbpedia.org/resource/Nashville_(TN) http://dbpedia.org/resource/Nashville_tn http://dbpedia.org/resource/Music_City_USA http://dbpedia.org/resource/Nashville-Davidson,_TN http://dbpedia.org/resource/Nashville-Davidson_(city),_Tennessee http://dbpedia.org/resource/Nashville-Davidson_(city),_Davidson_County,_TN http://dbpedia.org/resource/Nashville,_USA http://dbpedia.org/resource/Nashville,_TN http://dbpedia.org/resource/Nashville-Davidson_(city),_TN http://dbpedia.org/resource/Nashville_neighborhoods http://dbpedia.org/resource/Nashville,_tn http://dbpedia.org/resource/Nashville_&_Davidson_County,_Tennessee http://dbpedia.org/resource/Nashville,_Tennesee http://dbpedia.org/resource/Nashville-Davidson http://dbpedia.org/resource/Neighborhoods_of_Nashville http://dbpedia.org/resource/Nashville_Tenn http://dbpedia.org/resource/Nashville http://dbpedia.org/resource/City_of_Nashville http://dbpedia.org/resource/West_Nashville http://dbpedia.org/resource/Nash_Vegas http://dbpedia.org/resource/Nashville,_Tennessee http://dbpedia.org/resource/Protestant_vatican http://dbpedia.org/resource/Cashville,_Tennessee http://dbpedia.org/resource/North_Nashville http://dbpedia.org/resource/Metropolitan_Government_of_Nashville_and_Davidson_County http://dbpedia.org/resource/Nashvillian http://dbpedia.org/resource/Nashville,_United_States"
1,104,London,http://dbpedia.org/resource/Jack_London,"http://dbpedia.org/resource/Lundein http://dbpedia.org/resource/London-on-Thames http://dbpedia.org/resource/London,_Britain http://dbpedia.org/resource/Londonshire http://dbpedia.org/resource/UN/LOCODE:GBLON http://dbpedia.org/resource/Lundúnir http://dbpedia.org/resource/Capital_of_the_UK http://dbpedia.org/resource/Climate_in_London http://dbpedia.org/resource/London_(England) http://dbpedia.org/resource/The_metropolis http://dbpedia.org/resource/Londonise http://dbpedia.org/resource/London_UK http://dbpedia.org/resource/London_area http://dbpedia.org/resource/Lundene http://dbpedia.org/resource/London_(Great_Britain) http://dbpedia.org/resource/London,_UK http://dbpedia.org/resource/Capital_of_England http://dbpedia.org/resource/London,_United_Kingdom http://dbpedia.org/resource/London,_England,_United_Kingdom http://dbpedia.org/resource/Llundain http://dbpedia.org/resource/LONDON http://dbpedia.org/resource/London http://dbpedia.org/resource/London,_England,_UK http://dbpedia.org/resource/Londontown http://dbpedia.org/resource/London,England http://dbpedia.org/resource/Londyn http://dbpedia.org/resource/Londra http://dbpedia.org/resource/London_England http://dbpedia.org/resource/The_Metropolis http://dbpedia.org/resource/London_england http://dbpedia.org/resource/London,_U.K. http://dbpedia.org/resource/London,_uk http://dbpedia.org/resource/London's http://dbpedia.org/resource/London,_Great_Britain http://dbpedia.org/resource/Londonize http://dbpedia.org/resource/United_Kingdom/London http://dbpedia.org/resource/London,_Greater_London http://dbpedia.org/resource/Lodnon http://dbpedia.org/resource/Capital_of_the_United_Kingdom http://dbpedia.org/resource/London,_England http://dbpedia.org/resource/London_Britain http://dbpedia.org/resource/GBLON http://dbpedia.org/resource/London_(United_Kingdom) http://dbpedia.org/resource/Weather_in_London http://dbpedia.org/resource/London,_england http://dbpedia.org/resource/England_London http://dbpedia.org/resource/London_(UK) http://dbpedia.org/resource/Southwest_London http://dbpedia.org/resource/London_(Britain) http://dbpedia.org/resource/Lundunir"
1,105,New York City,http://dbpedia.org/resource/Manhattan,"http://dbpedia.org/resource/City_of_New_York http://dbpedia.org/resource/New_York,_New_York,_USA http://dbpedia.org/resource/New_York_City,_New_York_State http://dbpedia.org/resource/NYC,_New_York http://dbpedia.org/resource/New_York_City,_NYS http://dbpedia.org/resource/USNYC http://dbpedia.org/resource/New_York_City,_United_States_of_America http://dbpedia.org/resource/New_York_(N.Y.) http://dbpedia.org/resource/The_City_So_Nice_They_Named_It_Twice http://dbpedia.org/resource/New_York_(NY) http://dbpedia.org/resource/City_That_Never_Sleeps_(city) http://dbpedia.org/resource/New_York_City,_United_States http://dbpedia.org/resource/NYC,_NYS http://dbpedia.org/resource/New_york_city,_new_york http://dbpedia.org/resource/New_York_City_(NYC) http://dbpedia.org/resource/New_York_City_(NYC),_USA http://dbpedia.org/resource/New_York_(city) http://dbpedia.org/resource/UN/LOCODE:USNYC http://dbpedia.org/resource/NYC,_NY http://dbpedia.org/resource/NY_City http://dbpedia.org/resource/New_york_City http://dbpedia.org/resource/NewYork_City http://dbpedia.org/resource/New_York_CIty http://dbpedia.org/resource/N.Y.C. http://dbpedia.org/resource/City_of_New_York,_New_York http://dbpedia.org/resource/New_york,_ny http://dbpedia.org/resource/Ny_c http://dbpedia.org/resource/New_York_City http://dbpedia.org/resource/NYC.gov http://dbpedia.org/resource/New_York_N.Y. http://dbpedia.org/resource/City_of_new_york http://dbpedia.org/resource/New_York_City_(Ny.) http://dbpedia.org/resource/NY_City,_NY http://dbpedia.org/resource/New_York_City,_New_York,_USA http://dbpedia.org/resource/The_City_of_New_York http://dbpedia.org/resource/New_York_(City) http://dbpedia.org/resource/New_York_Cty http://dbpedia.org/resource/New_York,_NY,_USA http://dbpedia.org/resource/New_York_City,_New_York http://dbpedia.org/resource/NYC http://dbpedia.org/resource/New_York,_US-NY http://dbpedia.org/resource/New_Yourk_City http://dbpedia.org/resource/N._Y.,_N._Y. http://dbpedia.org/resource/New_York_City,_U.S. http://dbpedia.org/resource/New_York_city http://dbpedia.org/resource/N_y_c http://dbpedia.org/resource/New_York_City_Birth_Index http://dbpedia.org/resource/City_New_York http://dbpedia.org/resource/New_your_city http://dbpedia.org/resource/N._Y._C. http://dbpedia.org/resource/New_York,_New_York http://dbpedia.org/resource/Nyc http://dbpedia.org/resource/New-York_City http://dbpedia.org/resource/N.Y.C http://dbpedia.org/resource/New_York_City,_USA http://dbpedia.org/resource/New_York_City,_NY http://dbpedia.org/resource/City_of_NY http://dbpedia.org/resource/New_York_City,_New_York,_United_States http://dbpedia.org/resource/NY,_NY http://dbpedia.org/resource/N.Y.,_N.Y. http://dbpedia.org/resource/New_York_NY http://dbpedia.org/resource/New_york,_New_York http://dbpedia.org/resource/New_York,_NY http://dbpedia.org/resource/New_York_New_York http://dbpedia.org/resource/New_York,_New_York_(State) http://dbpedia.org/resource/New_york_new_york http://dbpedia.org/resource/New_Yawk http://dbpedia.org/resource/City_of_new_yourk http://dbpedia.org/resource/New_York,_N._Y. http://dbpedia.org/resource/N_yc http://dbpedia.org/resource/New_York_City_(NY) http://dbpedia.org/resource/New_york_city http://dbpedia.org/resource/Newyorkcity http://dbpedia.org/resource/New_York,_N.Y. http://dbpedia.org/resource/Nueva_York"
1,106,"Nashville, Tennessee",http://dbpedia.org/resource/Tennessee,"http://dbpedia.org/resource/Nashville_Neighborhoods http://dbpedia.org/resource/Nashville-Davidson_County http://dbpedia.org/resource/Nashville-Davidson_(city),_Davidson_County,_Tennessee http://dbpedia.org/resource/Little_Kurdistan http://dbpedia.org/resource/Capital_of_Tennessee http://dbpedia.org/resource/South_Nashville http://dbpedia.org/resource/Nashville,_TN,_USA http://dbpedia.org/resource/Nashville_(AFL) http://dbpedia.org/resource/The_weather_in_Nashville http://dbpedia.org/resource/Little_kurdistan http://dbpedia.org/resource/Nashville_Tennessee http://dbpedia.org/resource/Nashville-Davidson,_Tennessee http://dbpedia.org/resource/Businesses_in_Nashville http://dbpedia.org/resource/Downtown_Nashville http://dbpedia.org/resource/Nashville,_Tenn. http://dbpedia.org/resource/Nashville_(TN) http://dbpedia.org/resource/Nashville_tn http://dbpedia.org/resource/Music_City_USA http://dbpedia.org/resource/Nashville-Davidson,_TN http://dbpedia.org/resource/Nashville-Davidson_(city),_Tennessee http://dbpedia.org/resource/Nashville-Davidson_(city),_Davidson_County,_TN http://dbpedia.org/resource/Nashville,_USA http://dbpedia.org/resource/Nashville,_TN http://dbpedia.org/resource/Nashville-Davidson_(city),_TN http://dbpedia.org/resource/Nashville_neighborhoods http://dbpedia.org/resource/Nashville,_tn http://dbpedia.org/resource/Nashville_&_Davidson_County,_Tennessee http://dbpedia.org/resource/Nashville,_Tennesee http://dbpedia.org/resource/Nashville-Davidson http://dbpedia.org/resource/Neighborhoods_of_Nashville http://dbpedia.org/resource/Nashville_Tenn http://dbpedia.org/resource/Nashville http://dbpedia.org/resource/City_of_Nashville http://dbpedia.org/resource/West_Nashville http://dbpedia.org/resource/Nash_Vegas http://dbpedia.org/resource/Nashville,_Tennessee http://dbpedia.org/resource/Protestant_vatican http://dbpedia.org/resource/Cashville,_Tennessee http://dbpedia.org/resource/North_Nashville http://dbpedia.org/resource/Metropolitan_Government_of_Nashville_and_Davidson_County http://dbpedia.org/resource/Nashvillian http://dbpedia.org/resource/Nashville,_United_States"
1,108,London,http://dbpedia.org/resource/Jack_London,"http://dbpedia.org/resource/Lundein http://dbpedia.org/resource/London-on-Thames http://dbpedia.org/resource/London,_Britain http://dbpedia.org/resource/Londonshire http://dbpedia.org/resource/UN/LOCODE:GBLON http://dbpedia.org/resource/Lundúnir http://dbpedia.org/resource/Capital_of_the_UK http://dbpedia.org/resource/Climate_in_London http://dbpedia.org/resource/London_(England) http://dbpedia.org/resource/The_metropolis http://dbpedia.org/resource/Londonise http://dbpedia.org/resource/London_UK http://dbpedia.org/resource/London_area http://dbpedia.org/resource/Lundene http://dbpedia.org/resource/London_(Great_Britain) http://dbpedia.org/resource/London,_UK http://dbpedia.org/resource/Capital_of_England http://dbpedia.org/resource/London,_United_Kingdom http://dbpedia.org/resource/London,_England,_United_Kingdom http://dbpedia.org/resource/Llundain http://dbpedia.org/resource/LONDON http://dbpedia.org/resource/London http://dbpedia.org/resource/London,_England,_UK http://dbpedia.org/resource/Londontown http://dbpedia.org/resource/London,England http://dbpedia.org/resource/Londyn http://dbpedia.org/resource/Londra http://dbpedia.org/resource/London_England http://dbpedia.org/resource/The_Metropolis http://dbpedia.org/resource/London_england http://dbpedia.org/resource/London,_U.K. http://dbpedia.org/resource/London,_uk http://dbpedia.org/resource/London's http://dbpedia.org/resource/London,_Great_Britain http://dbpedia.org/resource/Londonize http://dbpedia.org/resource/United_Kingdom/London http://dbpedia.org/resource/London,_Greater_London http://dbpedia.org/resource/Lodnon http://dbpedia.org/resource/Capital_of_the_United_Kingdom http://dbpedia.org/resource/London,_England http://dbpedia.org/resource/London_Britain http://dbpedia.org/resource/GBLON http://dbpedia.org/resource/London_(United_Kingdom) http://dbpedia.org/resource/Weather_in_London http://dbpedia.org/resource/London,_england http://dbpedia.org/resource/England_London http://dbpedia.org/resource/London_(UK) http://dbpedia.org/resource/Southwest_London http://dbpedia.org/resource/London_(Britain) http://dbpedia.org/resource/Lundunir"
1,109,Nashville,http://dbpedia.org/resource/Tennessee,"http://dbpedia.org/resource/Nashville_Neighborhoods http://dbpedia.org/resource/Nashville-Davidson_County http://dbpedia.org/resource/Nashville-Davidson_(city),_Davidson_County,_Tennessee http://dbpedia.org/resource/Little_Kurdistan http://dbpedia.org/resource/Capital_of_Tennessee http://dbpedia.org/resource/South_Nashville http://dbpedia.org/resource/Nashville,_TN,_USA http://dbpedia.org/resource/Nashville_(AFL) http://dbpedia.org/resource/The_weather_in_Nashville http://dbpedia.org/resource/Little_kurdistan http://dbpedia.org/resource/Nashville_Tennessee http://dbpedia.org/resource/Nashville-Davidson,_Tennessee http://dbpedia.org/resource/Businesses_in_Nashville http://dbpedia.org/resource/Downtown_Nashville http://dbpedia.org/resource/Nashville,_Tenn. http://dbpedia.org/resource/Nashville_(TN) http://dbpedia.org/resource/Nashville_tn http://dbpedia.org/resource/Music_City_USA http://dbpedia.org/resource/Nashville-Davidson,_TN http://dbpedia.org/resource/Nashville-Davidson_(city),_Tennessee http://dbpedia.org/resource/Nashville-Davidson_(city),_Davidson_County,_TN http://dbpedia.org/resource/Nashville,_USA http://dbpedia.org/resource/Nashville,_TN http://dbpedia.org/resource/Nashville-Davidson_(city),_TN http://dbpedia.org/resource/Nashville_neighborhoods http://dbpedia.org/resource/Nashville,_tn http://dbpedia.org/resource/Nashville_&_Davidson_County,_Tennessee http://dbpedia.org/resource/Nashville,_Tennesee http://dbpedia.org/resource/Nashville-Davidson http://dbpedia.org/resource/Neighborhoods_of_Nashville http://dbpedia.org/resource/Nashville_Tenn http://dbpedia.org/resource/Nashville http://dbpedia.org/resource/City_of_Nashville http://dbpedia.org/resource/West_Nashville http://dbpedia.org/resource/Nash_Vegas http://dbpedia.org/resource/Nashville,_Tennessee http://dbpedia.org/resource/Protestant_vatican http://dbpedia.org/resource/Cashville,_Tennessee http://dbpedia.org/resource/North_Nashville http://dbpedia.org/resource/Metropolitan_Government_of_Nashville_and_Davidson_County http://dbpedia.org/resource/Nashvillian http://dbpedia.org/resource/Nashville,_United_States"
1,113,Hitsville USA,http://dbpedia.org/resource/USA_Today,"http://dbpedia.org/resource/Hitsville_U._S._A. http://dbpedia.org/resource/Hitsville_U_S_A http://dbpedia.org/resource/Hitsville_USA http://dbpedia.org/resource/Motown_Historical_Museum http://dbpedia.org/resource/Motown_Museum http://dbpedia.org/resource/Hitsville_U.S.A. http://dbpedia.org/resource/Hitsville,_USA http://dbpedia.org/resource/Motown_piano"
1,114,Avatar Studios,http://dbpedia.org/resource/Power_Station_(recording_studio),http://dbpedia.org/resource/The_Power_Station_(recording_studio) http://dbpedia.org/resource/Power_Station_recording_studio http://dbpedia.org/resource/Avatar_Studios
